,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
13119,France,"Savigny-lès-Beaune, better known for its reds, also makes small quantities of white. From a three-acre parcel, this wine is ripe and tangy with orange peel and mineral acidity. It is a wine that is aging fast and that will be ready to drink from late 2021.",,89,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2018  Savigny-lès-Beaune,Chardonnay,Domaine de Bellene, 2018  Savigny-lès-Beaune,2018,Mid
13372,France,"Named after the red soil of the vineyard, this wine is rich and full of generous red fruits. They are cut with the acidity of the vintage to give a crisp edge to this full-bodied wine. Spice and hedgerow fruits finish a wine that still needs to develop. Drink from 2024.",Montée Rouge Premier Cru,92,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,Château de Santenay 2018 Montée Rouge Premier Cru  (Beaune),Pinot Noir,Château de Santenay, 2018 Montée Rouge Premier Cru  (Beaune),2018,Good
13377,France,"A family operation, now run by Jean-Pierre and Philippe, Guillernot's flagship wine is generous and ripe. It has plenty of warm structure, while the red fruits are juicy and perfumed. This is developing into a full, rich wine that will be full of fruit. Drink from 2023 (this wine may age well beyond).",Aux Serpentières Premier Cru,92,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Pierre Guillemot 2018 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine Pierre Guillemot, 2018 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),2018,Good
13388,France,"Still quite closed, this is a firm wine with all its tight tannins still in place. It's dry at this stage, although the fruit is going to develop well. Acidity and a hint of perfumed red-berry flavors promise a good future. Drink from 2024.",Premier Cru,92,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Maison Champy 2018 Premier Cru  (Beaune),Pinot Noir,Maison Champy, 2018 Premier Cru  (Beaune),2018,Good
15431,France,"Old vines grown on a three-acre parcel on the lower slopes of Savigny have produced a finely perfumed wine. It has ripe raspberry fruit and a light layer of tannins. The aftertaste is more structured, showing hints of wood aging as well as acidity. Drink the wine from 2022.",Vieilles Vignes,90,42.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2018 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Domaine de Bellene, 2018 Vieilles Vignes  (Savigny-lès-Beaune),2018,Mid
15508,France,"Full with dusty tannins from the intensely rocky Aux Cras vineyard, this wine offers rich and rounded fruits. Red berries come through strongly, offering an initially fruit-driven wine that then opens out into one that is dense, very structured and with aging potential. Drink this terroir-driven wine from 2022.",Aux Cras Premier Cru,93,80.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2016 Aux Cras Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2016 Aux Cras Premier Cru  (Beaune),2016,Good
15518,France,"Smoky aromas add to the red fruits and manifest themselves on the palate as the spicy, toasty wood aging. The fruits are still developing, a series of rich berries and currants that will be ripe and generous. For the moment, the dry tannins dominate, so give this wine until 2022.",Teurons Premier Cru,93,72.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2016 Teurons Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2016 Teurons Premier Cru  (Beaune),2016,Good
15610,France,"From Bouchard's home vineyard, this is one of their signature wines. In 2009, it has produced a luscious, fruity wine whose richness is only a part of its wonderful floating character. The ripeness of the wine is matched by its structure, which promises considerable aging.",Beaune du Château Premier Cru,94,42.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2009 Beaune du Château Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2009 Beaune du Château Premier Cru  (Beaune),2009,Good
15688,France,"Not to be confused with wines from the vineyard of the same name in neighboring Pernand-Verglesses, this balanced wine shows ripe tropical fruits as well as toasted wood flavors. It is structured and still developing its rich potential. Drink from 2021.",Aux Vergelesses Premier Cru,92,44.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Dublère 2015 Aux Vergelesses Premier Cru  (Savigny-lès-Beaune),Chardonnay,Domaine Dublère, 2015 Aux Vergelesses Premier Cru  (Savigny-lès-Beaune),2015,Good
15692,France,"Corton Grancey is the site of Louis Latour's winery and has a long tradition in the family's hands. This 2015 is powerful and solid while offering very ripe and jammy fruits. Attractive acidity cuts through the richness and contrasts with the finely modulated structure. It has good aging potential, drink from 2022.",Château Corton Grancey,92,140.0,Burgundy,Corton,,Roger Voss,@vossroger,Louis Latour 2015 Château Corton Grancey  (Corton),Pinot Noir,Louis Latour, 2015 Château Corton Grancey  (Corton),2015,Good
15695,France,"This solid, bold wine has a velvet texture. Black fruits are rounded with a generous texture, although a firmer, tannic character waits in the background. It is structured and elegant. Drink from 2021.",Les Grèves Premier Cru,92,57.0,Burgundy,Beaune,,Roger Voss,@vossroger,Alex Gambal 2015 Les Grèves Premier Cru  (Beaune),Pinot Noir,Alex Gambal, 2015 Les Grèves Premier Cru  (Beaune),2015,Good
16366,France,"Structured and dense with tannins, this is a big wine with a big future. Its black fruits, acidity and solid texture all point to its weight and richness. It is going to be a rich fruity wine. But wait until 2023.",,92,32.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2019  Savigny-lès-Beaune,Pinot Noir,Chanson Père et Fils, 2019  Savigny-lès-Beaune,2019,Good
16704,France,"A wine that reflects the relative lightness of the reds in this vintage. It has a layer of tannins, but they don't suggest aging; they are more a base for the attractive raspberry and red plum flavor, freshened by the acidity.",Marconnets Premier Cru,88,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2011 Marconnets Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2011 Marconnets Premier Cru  (Beaune),2011,Mid
16714,France,"A smooth, perfumed wine, with an initial barnyard character that then softens into red fruits and soft tannins. Relatively light, going more for juiciness than weight.",Beaune du Château Premier Cru,88,35.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2011 Beaune du Château Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2011 Beaune du Château Premier Cru  (Beaune),2011,Mid
17192,France,"Firm tannins don't completely hide the bright red berry flavors of this full wine. Red cherries dominate, giving a broad feeling even while the tannic structure is still in charge. Good acidity at the end adds to the sense of aging potential. Drink from 2021.",Les Pimentiers,89,38.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Jean Petitot et Fils 2015 Les Pimentiers  (Savigny-lès-Beaune),Pinot Noir,Domaine Jean Petitot et Fils, 2015 Les Pimentiers  (Savigny-lès-Beaune),2015,Mid
17290,France,"It's rare in Burgundy that a producer can add his name to a vineyard, but Faiveley's tradition goes back at least a century. This is huge and dense; the notes of spice, sweet black plum and acidity are all comfortably balanced with the powerful tannic structure. This needs at least seven years of aging.",Clos des Cortons Faiveley,94,215.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Faiveley 2014 Clos des Cortons Faiveley  (Corton),Pinot Noir,Domaine Faiveley, 2014 Clos des Cortons Faiveley  (Corton),2014,Good
17726,France,"Still so young, the wine is tight at this stage. It has dark stone fruits and dense tannins along with a lightness of red berry fruits. Power and structure as well as a smoky character from 50% new wood aging.",,94,90.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Luc et Lise Pavelot 2015  Corton,Pinot Noir,Domaine Luc et Lise Pavelot, 2015  Corton,2015,Good
17734,France,"Big and rich, this is a broad, open version of Corton-Charlemagne, a powerhouse of ripe white and yellow fruits. It seems initially without enough depth, a product of its youth, then gradually the ripe structure shows through, promising aging over 6–7 years.",,94,305.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2015  Corton-Charlemagne,Chardonnay,Jean-Luc and Paul Aegerter, 2015  Corton-Charlemagne,2015,Good
18067,France,"Aromas of this wine show considerable wood. On the palate, the wood is very present, giving acidity as well as layers of toast and spice. Hints of yellow fruit show through, suggesting the possibility of a ripe, rich wine in the future. Drink from 2023.",Bastion Premier Cru,90,59.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Bastion Premier Cru  (Beaune),Chardonnay,Chanson Père et Fils, 2017 Bastion Premier Cru  (Beaune),2017,Mid
18170,France,"Beautifully perfumed, this wine is already developing well. It presents a good balance between juicy red cherry fruits and textured tannins that support the richness. It should age further, so drink from 2022.",Les Peuillets Premier Cru,90,82.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2016 Les Peuillets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine de Bellene, 2016 Les Peuillets Premier Cru  (Savigny-lès-Beaune),2016,Mid
19012,France,"Among the most northerly of the run of Beaune premier crus, the wine is structured but the structure is cushioned by the ripe red-berry fruits to give a generous wine. Backed by tannins, the wine will age well. Drink from 2022.",Perrières Premier Cru,93,80.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Latour 2019 Perrières Premier Cru  (Beaune),Pinot Noir,Louis Latour, 2019 Perrières Premier Cru  (Beaune),2019,Good
19013,France,"A firmly structured wine, solid with tannins and with structure. The wine is also full of fruit potential, ripe with red berries. It is dense wine that needs to age. Drink from 2025.",Aux Cras Premier Cru,93,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,Maison Champy 2019 Aux Cras Premier Cru  (Beaune),Pinot Noir,Maison Champy, 2019 Aux Cras Premier Cru  (Beaune),2019,Good
19020,France,"This is a structured wine, dark and firm as tannins meld with the ripe berry fruits. It has the weight to have great potential. The wine, with its concentration and dense tannins, will be ready to drink from 2025.",Domaine Clos de la Chapelle Champs Pimont Premier Cru,93,54.0,Burgundy,Beaune,,Roger Voss,@vossroger,Meurgey-Croses 2019 Domaine Clos de la Chapelle Champs Pimont Premier Cru  (Beaune),Pinot Noir,Meurgey-Croses, 2019 Domaine Clos de la Chapelle Champs Pimont Premier Cru  (Beaune),2019,Good
19726,France,"Perfumed and juicy, this is already an attractive wine. Fine tannins and plenty of red fruits give a fresh and structured character. With a firmer background, it will develop well. Drink from 2024.",Les Bressandes Premier Cru,92,56.0,Burgundy,Beaune,,Roger Voss,@vossroger,Seguin-Manuel 2018 Les Bressandes Premier Cru  (Beaune),Pinot Noir,Seguin-Manuel, 2018 Les Bressandes Premier Cru  (Beaune),2018,Good
20179,France,"This is an elegant, smooth wine that draws out the freshness of the vintage as much as the fruitiness. It has ripe, soft tannins, juicy red-fruit flavors and an intriguing smokiness. With acidity holding the wine in check, it should age well. Drink from 2021.",Montrevenots Premier Cru,90,33.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jean Monnier et Fils 2015 Montrevenots Premier Cru  (Beaune),Pinot Noir,Domaine Jean Monnier et Fils, 2015 Montrevenots Premier Cru  (Beaune),2015,Mid
20504,France,"This ripe, wood-aged wine is generous and smooth. Spice and toastiness are balanced by the apricot and citrus fruits. One gives richness, the other crispness. It is a wine with a future. Drink from 2024.",Les Reversées Premier Cru,90,56.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2019 Les Reversées Premier Cru  (Beaune),Chardonnay,Jean-Luc and Paul Aegerter, 2019 Les Reversées Premier Cru  (Beaune),2019,Mid
21490,France,The wine is juicy with intense acidity. Its red-currant flavor is consistent with this acidity. Tannins are firm and will soften. The juicy aftertaste gives the wine crispness.,Aux Serpentières Premier Cru,87,65.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Pierre Guillemot 2019 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine Pierre Guillemot, 2019 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),2019,Mid
22503,France,"This wine comes from a vineyard that is wholly owned by Chanson. It is juicy, ripe while having a great, straight line of acidity. The red-berry fruits are still developing and coming through the firm, smoky dark tannins. The wine, with its spicy aftertaste, will be ready to drink from 2024.",Clos des Fèves Premier Cru,94,118.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Clos des Fèves Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2017 Clos des Fèves Premier Cru  (Beaune),2017,Good
22516,France,"A flagship of the Faiveley range, this is a structured wine with great acidity and beautiful perfumes. The wine is dense, already balanced with the red fruits shining through the tannins. It will develop slowly and will not be ready to drink before 2023.",Clos des Cortons Faiveley,94,279.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Faiveley 2018 Clos des Cortons Faiveley  (Corton),Pinot Noir,Domaine Faiveley, 2018 Clos des Cortons Faiveley  (Corton),2018,Good
23435,France,"This is powerful and rich, allowing just a note of freshness to creep into the firm structure. Dark tannins, black fruits and smoky wood flavors combine harmoniously, lending a sense of great power and long-term aging potential. Drink from 2023.",Le Corton,96,115.0,Burgundy,Corton,,Roger Voss,@vossroger,Bouchard Père & Fils 2015 Le Corton  (Corton),Pinot Noir,Bouchard Père & Fils, 2015 Le Corton  (Corton),2015,Good
23618,France,"This two-acre premier cru situated north of Beaune city gives smooth and rich wines. This bottling shows the acidity of the vintage while also having a full, round character, ripe with strawberries and crisp with acidity. The wine needs more time, so drink from 2023.",En Genêt Premier Cru,91,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Arnoux Père et Fils 2018 En Genêt Premier Cru  (Beaune),Pinot Noir,Domaine Arnoux Père et Fils, 2018 En Genêt Premier Cru  (Beaune),2018,Good
24332,France,"Without big oak or big fruit to make it ungainly, this is a real food-friendly Chardonnay. The delicate floral aromas and understated yet finely etched pear and almond flavors almost seem designed to show off that special weekend dish you just spent hours making.",,86,26.0,Burgundy,Beaune,,,,Louis Latour 2004  Beaune,Chardonnay,Louis Latour, 2004  Beaune,2004,Bad
25563,France,"A ripe and full wine, packed with fruit. It has a toasty character, spice and bright red-berry fruits that give the wine its crisp acidity and balance the riper smooth texture that is developing. Give this wine until 2022.",,91,31.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Denis Père et Fils 2019  Savigny-lès-Beaune,Pinot Noir,Denis Père et Fils, 2019  Savigny-lès-Beaune,2019,Good
25676,France,"Soft and ripe, this is a broad wine. Its tannins are enveloped by the rich plum and damson fruit flavors. It combines the richness of the vintage with the softness of a Savigny in an already delicious whole.",Les Serpentières Premier Cru,88,48.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Maurice Ecard 2013 Les Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Maurice Ecard, 2013 Les Serpentières Premier Cru  (Savigny-lès-Beaune),2013,Mid
26346,France,"Savigny-lès-Beaune often shows the softer side of Pinot Noir. This wine has juicy red-cherry and raspberry flavors that balance the gentle, dry tannins. The low-yielding old vines from which the fruit was sourced give this selection extra concentration. This will benefit from medium-term aging.",Vieilles Vignes,90,58.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Roche de Bellene 2014 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Roche de Bellene, 2014 Vieilles Vignes  (Savigny-lès-Beaune),2014,Mid
26447,France,"One-quarter of the Clos des Maréchaudes is classified Grand Cru, as the soil and the slope change. This shows in the power of the wine with its smoky tannins and dark character. Black fruits and a dense texture signify a wine with power and longevity. Drink from 2022.",Domaine du Pavillon Clos des Maréchaudes,94,150.0,Burgundy,Corton,,Roger Voss,@vossroger,Albert Bichot 2018 Domaine du Pavillon Clos des Maréchaudes  (Corton),Pinot Noir,Albert Bichot, 2018 Domaine du Pavillon Clos des Maréchaudes  (Corton),2018,Good
26598,France,"With crushed strawberry and caramel flavors, this is relatively light wine, though elegant and pierced with acidity. Milk chocolate and soft tannins complete an attractive ensemble.",Aux Cras,89,56.0,Burgundy,Beaune,,Roger Voss,@vossroger,Camille Giroud 2012 Aux Cras  (Beaune),Pinot Noir,Camille Giroud, 2012 Aux Cras  (Beaune),2012,Mid
26681,France,"Light in color, this rejoices in its perfumed character as much as its fruit. There is a heady smoky aroma, while the palate shows a leaner character. The fruit flavors of red berries are given an extra dimension by the smoky wood and the meaty edge.",Clos des Mouches Premier Cru,91,90.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2010 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2010 Clos des Mouches Premier Cru  (Beaune),2010,Good
26695,France,"Soft, sensuous, this is a wine that appeals straight away to the senses. The red fruits float over a soft texture of sweet tannins, leaving a juicy, succulent texture. While it is not a powerful wine, it offers all the delicious characters of Pinot Noir.",Bressandes Premier Cru,90,80.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2010 Bressandes Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2010 Bressandes Premier Cru  (Beaune),2010,Mid
26801,France,"Rather lean and austere, this is a tight, structured wine. Its future lies in the firm tannins and the juicy red-currant fruit. Wait for this wine and don't drink before 2024.",Aux Serpentières Premier Cru,90,75.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Michel et Joana Ecard 2018 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Michel et Joana Ecard, 2018 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),2018,Mid
27242,France,"This ripe, wood-aged wine is generous and smooth. Spice and toastiness are balanced by the apricot and citrus fruits. One gives richness, the other crispness. It is a wine with a future. Drink from 2024.",Les Reversées Premier Cru,90,56.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2019 Les Reversées Premier Cru  (Beaune),Chardonnay,Jean-Luc and Paul Aegerter, 2019 Les Reversées Premier Cru  (Beaune),2019,Mid
27588,France,"This is a powerhouse of a wine—structured and dense yet still developing and closed at this young stage. There's already a sense of both fruit richness and mineral texture, underpinned by oak spice, yet it will grow more powerful with time. Drink from 2023.",,97,184.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Louis Jadot 2018  Corton-Charlemagne,Chardonnay,Louis Jadot, 2018  Corton-Charlemagne,2018,Good
29174,France,"Already dense, this wine seems to lack fruit. The tannins dominate at the moment along with acidity. It's likely to remain quite a tight.",,85,23.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Albert Bichot 2015  Savigny-lès-Beaune,Pinot Noir,Albert Bichot, 2015  Savigny-lès-Beaune,2015,Bad
29396,France,"From a half-acre parcel, this is a delicately structured wine. Delicious, forward red-cherry fruits are juicy and provide lift to the the firm tannins. The combination and balance of the fruit and the texture result in a wine that will age well. Drink from 2022.",Les Grèves Premier Cru,93,100.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2016 Les Grèves Premier Cru  (Beaune),Pinot Noir,Domaine de Bellene, 2016 Les Grèves Premier Cru  (Beaune),2016,Good
29823,France,"Dominated by red-currant fruits, this is a soft wine with tannins in the background. It has a toasty edge from the wood aging while leaving most of the singing to the fruit. Drink from 2021.",Vieilles Vignes,88,30.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Seguin-Manuel 2019 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Seguin-Manuel, 2019 Vieilles Vignes  (Savigny-lès-Beaune),2019,Mid
